"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",8418.49830808972,8786.2256670605,"1"
"model_01","~area","~area","~area",15562.9536621902,18886.9205736712,"area"
"model_02","~area","~1","~1",9953.4326019636,10811.4631062288,"area"
"model_03","~1","~area","~1",11328.7237856167,12475.1679047609,"area"
"model_04","~1","~1","~area",12649.6695076071,14012.4238379106,"area"
"model_05","~area","~area","~1",12346.4756921699,14199.5331677678,"area"
"model_06","~area","~1","~area",12873.5228138584,14813.10437392,"area"
"model_07","~1","~area","~area",12437.6099612483,14160.8813101506,"area"
"model_01","~name_car","~name_car","~name_car",10400.2270780517,12260.4948940215,"name_car"
"model_02","~name_car","~1","~1",10713.9220151335,11752.211028698,"name_car"
"model_03","~1","~name_car","~1",11157.5666994822,12304.0108186264,"name_car"
"model_04","~1","~1","~name_car",10933.1126875638,12007.4534029883,"name_car"
"model_05","~name_car","~name_car","~1",9744.95025535361,11078.8632241692,"name_car"
"model_06","~name_car","~1","~name_car",10982.2233210883,12575.708543295,"name_car"
"model_07","~1","~name_car","~name_car",10321.8841911286,11699.0592021761,"name_car"
"model_01","~name_street.light","~name_street.light","~name_street.light",12475.847739978,14588.4774689671,"name_street.light"
"model_02","~name_street.light","~1","~1",9392.30961138022,10142.1850100657,"name_street.light"
"model_03","~1","~name_street.light","~1",10087.5883527537,10981.6705588788,"name_street.light"
"model_04","~1","~1","~name_street.light",11984.2412643351,13130.6853834793,"name_street.light"
"model_05","~name_street.light","~name_street.light","~1",12028.1895590067,13535.1506967497,"name_street.light"
"model_06","~name_street.light","~1","~name_street.light",12706.6372045657,14429.908553468,"name_street.light"
"model_07","~1","~name_street.light","~name_street.light",11594.0501917967,13057.7492873078,"name_street.light"
"model_01","~object","~object","~object",11779.556474081,13892.1862030701,"object"
"model_02","~object","~1","~1",10655.9659487223,11694.2549622868,"object"
"model_03","~1","~object","~1",11734.3156877527,13024.9666143364,"object"
"model_04","~1","~1","~object",11544.4967339807,12618.8374494052,"object"
"model_05","~object","~object","~1",10282.1850983223,11832.4082782972,"object"
"model_06","~object","~1","~object",11849.0197979723,13745.339315802,"object"
"model_07","~1","~object","~object",12036.1687038119,13802.7020949461,"object"
"model_01","~velocity","~velocity","~velocity",9917.17246988475,11979.3298162699,"velocity"
"model_02","~velocity","~1","~1",9726.40851625205,10620.4907223771,"velocity"
"model_03","~1","~velocity","~1",11063.3420015677,12173.734418852,"velocity"
"model_04","~1","~1","~velocity",12345.5368926847,13419.8776081092,"velocity"
"model_05","~velocity","~velocity","~1",10108.2295643435,11355.6184486954,"velocity"
"model_06","~velocity","~1","~velocity",9886.42057200947,11090.5474141295,"velocity"
"model_07","~1","~velocity","~velocity",10929.1002816792,12565.8475461177,"velocity"
