"model_names","location.fun","scale.fun","shape.fun","AIC","BIC"
"model_01","~object","~1","~1","5604.5123355711","6199.14272476847"
"model_02","~1","~object","~1","7472.42005615677","8247.24147238365"
"model_03","~1","~1","~object","7199.56580210662","7914.323542657"
"model_04","~area","~1","~1","4766.71913485077","5271.25401053339"
"model_05","~1","~area","~1","5306.38625048348","5840.95296400435"
"model_06","~1","~1","~area","6146.9899029687","6771.65213000433"
"model_07","~velocity","~1","~1","6964.03367197452","7678.7914125249"
"model_08","~1","~velocity","~1","7098.19560160092","7842.98517998956"
"model_09","~1","~1","~velocity","6416.13854504456","7040.80077208018"
"model_10","~object","~object","~1","7773.67201984868","8776.73540364627"
"model_11","~object","~1","~object","7318.52189312316","8213.47066070304"
"model_12","~1","~object","~object","7626.34933416703","8593.37451255872"
"model_13","~area","~area","~1","5849.70207293545","6564.45981348583"
"model_14","~area","~1","~area","5697.03114890319","6483.86530026538"
"model_15","~1","~area","~area","6108.39778186034","6931.27013862843"
"model_16","~velocity","~velocity","~1","6838.66911538816","7769.65608837395"
"model_17","~velocity","~1","~velocity","8181.5455693596","9292.7235693749"
"model_18","~1","~velocity","~velocity","7195.7360149706","8018.60837173869"
"model_19","~object","~object","~object","7456.34391638241","8543.4964461271"
"model_20","~area","~area","~area","6795.12300011253","7882.27552985722"
"model_21","~velocity","~velocity","~velocity","8521.29198474718","9986.84567125384"
"model_22","~1","~1","~1","4635.55886611586","4989.93455260722"
"model_23","~object","~area","~1","8116.48586986262","9191.62566447202"
"model_24","~object","~1","~area","8390.91730781956","9502.09530783485"
"model_25","~area","~object","~1","7410.05390842196","8449.15549762545"
"model_26","~area","~1","~object","7923.36741238615","8962.46900158964"
"model_27","~1","~object","~area","7748.20980153282","8715.23497992451"
"model_28","~1","~area","~object","8415.58352063504","9526.76152065034"
"model_29","~velocity","~area","~1","7147.07161158801","8078.0585845738"
"model_30","~velocity","~1","~area","8956.63707684307","10248.0061038879"
"model_31","~area","~velocity","~1","7058.91650396708","8025.94168235877"
"model_32","~area","~1","~velocity","7481.93089343753","8521.03248264102"
"model_33","~1","~velocity","~area","8492.71068749359","9639.92689291479"
"model_34","~1","~area","~velocity","8057.34463972168","9132.48443433107"
"model_35","~object","~velocity","~1","7794.00859264965","8797.07197644724"
"model_36","~object","~1","~velocity","8883.45072768661","10066.7051385137"
"model_37","~velocity","~object","~1","7515.12116047532","8518.18454427291"
"model_38","~velocity","~1","~object","8465.08208639984","9540.22188100923"
"model_39","~1","~object","~velocity","8210.17873791211","9213.2421217097"
"model_40","~1","~velocity","~object","8608.34029395161","9791.5947047787"
"model_41","~object","~area","~velocity","8038.91878536377","9378.33875294978"
"model_42","~object","~velocity","~area","9902.04240694842","11619.8635312964"
"model_43","~area","~object","~velocity","7904.86399102867","9286.32853158823"
"model_44","~area","~velocity","~object","7966.85913511129","9348.32367567085"
"model_45","~velocity","~object","~area","8831.61034433779","10297.1640308445"
"model_46","~velocity","~area","~object","8490.17784850491","9955.73153501157"
