"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",9463.10645444197,10055.8680208822,"1"
"model_01","~area","~area","~area",29974.8799467932,34337.6050757931,"area"
"model_02","~area","~1","~1",11396.9244103813,12614.0614934719,"area"
"model_03","~1","~area","~1",13267.9419454975,14959.2882817402,"area"
"model_04","~1","~1","~area",18650.5177823646,20578.9687451835,"area"
"model_05","~area","~area","~1",14569.643467351,16980.2071708745,"area"
"model_06","~area","~1","~area",28831.5464740642,31621.4775801095,"area"
"model_07","~1","~area","~area",20756.1748668779,23640.9478235535,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",19330.4365056144,22531.3489643915,"horizontal_left"
"model_02","~horizontal_left","~1","~1",10835.8129393412,11973.9151469064,"horizontal_left"
"model_03","~1","~horizontal_left","~1",11980.7035211976,13276.8754798135,"horizontal_left"
"model_04","~1","~1","~horizontal_left",19752.3848958525,21641.3184209086,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",15533.0030900422,17801.30401762,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",20510.7437202946,23300.6748263399,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",19521.7969093313,22169.4652394309,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",25899.1284727806,30317.1780146483,"horizontal_right"
"model_02","~horizontal_right","~1","~1",10144.0635210929,11124.0959776074,"horizontal_right"
"model_03","~1","~horizontal_right","~1",10649.5141952724,11708.5815273123,"horizontal_right"
"model_04","~1","~1","~horizontal_right",16921.5990834044,18731.4977329352,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",11285.9434516384,12842.9304994881,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",24427.9375590649,26933.3431132188,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",21294.316806008,24179.0897626836,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",15475.7361576103,18178.7289005777,"name_bus"
"model_02","~name_bus","~1","~1",12164.387563669,13500.0769600476,"name_bus"
"model_03","~1","~name_bus","~1",11833.5327909705,13090.1873118237,"name_bus"
"model_04","~1","~1","~name_bus",15851.6338479803,17266.3581198843,"name_bus"
"model_05","~name_bus","~name_bus","~1",12799.992346892,14688.9258719481,"name_bus"
"model_06","~name_bus","~1","~name_bus",16251.5482060153,18472.428208278,"name_bus"
"model_07","~1","~name_bus","~name_bus",15926.1917454577,18099.6508224051,"name_bus"
"model_01","~name_car","~name_car","~name_car",28230.1963675474,32039.6773678698,"name_car"
"model_02","~name_car","~1","~1",10207.1055412215,11187.137997736,"name_car"
"model_03","~1","~name_car","~1",12039.7746389396,13375.4640353182,"name_car"
"model_04","~1","~1","~name_car",21436.4004126039,23246.2990621346,"name_car"
"model_05","~name_car","~name_car","~1",16240.9315656308,18509.2324932087,"name_car"
"model_06","~name_car","~1","~name_car",25574.4808904202,28032.465519259,"name_car"
"model_07","~1","~name_car","~name_car",25697.0415609371,28155.0261897758,"name_car"
"model_01","~name_car..group.","~name_car..group.","~name_car..group.",19230.0215717926,21877.6899018922,"name_car..group."
"model_02","~name_car..group.","~1","~1",12179.597579494,13554.8044136353,"name_car..group."
"model_03","~1","~name_car..group.","~1",13243.1118287734,14578.801225152,"name_car..group."
"model_04","~1","~1","~name_car..group.",15504.9471554685,17117.2586161858,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",13758.4515353878,15505.1222844983,"name_car..group."
"model_07","~1","~name_car..group.","~name_car..group.",17497.6447030723,19671.1037800198,"name_car..group."
"model_02","~name_electric.pole","~1","~1",11494.6380406713,12711.7751237619,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",13167.1239970755,14621.3657067421,"name_electric.pole"
"model_04","~1","~1","~name_electric.pole",23544.3682587142,26618.8249166508,"name_electric.pole"
"model_05","~name_electric.pole","~name_electric.pole","~1",15530.5374406098,18035.9429947638,"name_electric.pole"
"model_01","~name_fence","~name_fence","~name_fence",20434.9896341068,23801.8753314872,"name_fence"
"model_02","~name_fence","~1","~1",11407.8698001363,12664.5243209896,"name_fence"
"model_03","~1","~name_fence","~1",11141.5014969381,12319.121142266,"name_fence"
"model_05","~name_fence","~name_fence","~1",13200.1220688632,15231.318369865,"name_fence"
"model_06","~name_fence","~1","~name_fence",23007.5313127287,26224.2507466109,"name_fence"
"model_02","~name_house","~1","~1",12525.240814435,13742.3778975256,"name_house"
