"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-18921.6151435939,-18409.6809771836,"1"
"model_01","~area","~area","~area",-26283.3283940139,-23514.557691175,"area"
"model_02","~area","~1","~1",-20411.2375188111,-19228.741697807,"area"
"model_03","~1","~area","~1",-22929.2210769877,-21710.6735541238,"area"
"model_04","~1","~1","~area",-25064.9079022049,-24026.6188886403,"area"
"model_05","~area","~area","~1",-22376.409802047,-20436.8282419854,"area"
"model_06","~area","~1","~area",-26397.0304044137,-24414.1868021203,"area"
"model_07","~1","~area","~area",-24719.0994479668,-23168.8762679919,"area"
"model_01","~object","~object","~object",-27181.5008474315,-24412.7301445927,"object"
"model_02","~object","~1","~1",-24120.2770074514,-22901.7294845874,"object"
"model_03","~1","~object","~1",-25222.1188004512,-23931.4678738675,"object"
"model_04","~1","~1","~object",-27297.1754839462,-25754.1626443433,"object"
"model_05","~object","~object","~1",-23046.6033326762,-21453.1181104695,"object"
"model_06","~object","~1","~object",-26489.7827402626,-24160.8428001143,"object"
"model_07","~1","~object","~object",-25937.1983854284,-23824.5686564394,"object"
"model_01","~velocity","~velocity","~velocity",-24552.420329385,-21985.5391569615,"velocity"
"model_02","~velocity","~1","~1",-22723.075070601,-21432.4241440173,"velocity"
"model_03","~1","~velocity","~1",-21949.2439112917,-20694.6446865678,"velocity"
"model_04","~1","~1","~velocity",-25448.9363273235,-23689.6132765613,"velocity"
"model_05","~velocity","~velocity","~1",-22974.4880761566,-21294.4787694861,"velocity"
"model_06","~velocity","~1","~velocity",-26071.8923869332,-23916.0006157123,"velocity"
"model_07","~1","~velocity","~velocity",-24591.0596372079,-22738.00216161,"velocity"
