"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-23086.8523407799,-22494.0907743397,"1"
"model_01","~area","~area","~area",-35172.1301221869,-31860.5688376743,"area"
"model_02","~area","~1","~1",-30922.5637165176,-28915.0778781735,"area"
"model_03","~1","~area","~1",-28319.9816980455,-26431.0481729894,"area"
"model_04","~1","~1","~area",-34090.5979924545,-32557.3214072625,"area"
"model_05","~area","~area","~1",-30395.5591055881,-27890.1535514342,"area"
"model_06","~area","~1","~area",-35684.1209573201,-32894.1898512749,"area"
"model_07","~1","~area","~area",-32929.3516897225,-30376.5252102533,"area"
"model_01","~horizontal_left","~horizontal_left","~horizontal_left",-30015.2071192831,-27256.889963448,"horizontal_left"
"model_02","~horizontal_left","~1","~1",-31958.7287704271,-30227.8649964217,"horizontal_left"
"model_03","~1","~horizontal_left","~1",-29488.1325327447,-27915.33850979,"horizontal_left"
"model_04","~1","~1","~horizontal_left",-30591.1535714431,-28939.3246729631,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",-36200.2345962841,-33931.9336687062,"horizontal_left"
"model_06","~horizontal_left","~1","~horizontal_left",-30486.4355003023,-28265.5554980396,"horizontal_left"
"model_07","~1","~horizontal_left","~horizontal_left",-33446.8409301148,-31557.9074050587,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",-39209.776644212,-35566.2688824928,"horizontal_right"
"model_02","~horizontal_right","~1","~1",-30587.7673480603,-29094.008200631,"horizontal_right"
"model_03","~1","~horizontal_right","~1",-31998.5922880578,-30149.1762007644,"horizontal_right"
"model_04","~1","~1","~horizontal_right",-43930.7451044745,-41449.0500129781,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",-32677.5602334938,-30172.1546793398,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",-36525.7995539821,-33593.6056719912,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",-33880.1853698443,-31469.6216663208,"horizontal_right"
"model_01","~name_bus","~name_bus","~name_bus",-18485.9654990238,-12906.1032869333,"name_bus"
"model_02","~name_bus","~1","~1",-21720.0548318045,-20502.917748714,"name_bus"
"model_03","~1","~name_bus","~1",-23206.6274675925,-21910.4555089766,"name_bus"
"model_04","~1","~1","~name_bus",-28780.21467868,-27128.3857802,"name_bus"
"model_05","~name_bus","~name_bus","~1",-27411.2910841543,-25095.5692312612,"name_bus"
"model_06","~name_bus","~1","~name_bus",-22813.9636164232,-18743.6675268671,"name_bus"
"model_07","~1","~name_bus","~name_bus",-29003.1874865747,-26687.4656336816,"name_bus"
"model_02","~name_car","~1","~1",-24278.8141914885,-22508.4329797204,"name_car"
"model_03","~1","~name_car","~1",-31719.2406076775,-30027.8942714347,"name_car"
"model_04","~1","~1","~name_car",-35677.5391093256,-34025.7102108455,"name_car"
"model_05","~name_car","~name_car","~1",-30236.5220206376,-27731.1164664836,"name_car"
"model_06","~name_car","~1","~name_car",-29095.3832974094,-26352.8731166793,"name_car"
