"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_00","~1","~1","~1",-1874.71342653424,-1276.25517566022,"1"
"model_02","~area","~1","~1",-2207.54467855194,-1385.56587614666,"area"
"model_03","~1","~area","~1",-2014.28516952767,-1228.35806898226,"area"
"model_04","~1","~1","~area",-5171.21829385767,-3736.36055983441,"area"
"model_05","~area","~area","~1",-1342.75603987474,337.253266795712,"area"
"model_02","~horizontal_left","~1","~1",-1832.04860435583,-937.966398230785,"horizontal_left"
"model_03","~1","~horizontal_left","~1",-1547.27807838841,-725.299275983121,"horizontal_left"
"model_05","~horizontal_left","~horizontal_left","~1",-1004.16900189143,329.743966924159,"horizontal_left"
"model_01","~horizontal_right","~horizontal_right","~horizontal_right",-7567.77781596818,-5051.3690261485,"horizontal_right"
"model_02","~horizontal_right","~1","~1",-4666.50691747278,-3880.57981692737,"horizontal_right"
"model_03","~1","~horizontal_right","~1",-4052.35783726493,-3266.43073671953,"horizontal_right"
"model_04","~1","~1","~horizontal_right",-6364.30852186842,-5109.70929714457,"horizontal_right"
"model_05","~horizontal_right","~horizontal_right","~1",-1449.86110546115,-288.996305572989,"horizontal_right"
"model_06","~horizontal_right","~1","~horizontal_right",-8741.05100244865,-6887.99352685077,"horizontal_right"
"model_07","~1","~horizontal_right","~horizontal_right",-9046.5839431179,-7107.00238305631,"horizontal_right"
"model_02","~name_bus","~1","~1",-1574.09172554772,-788.164625002311,"name_bus"
"model_03","~1","~name_bus","~1",-1718.93735048026,-500.389827616289,"name_bus"
"model_05","~name_bus","~name_bus","~1",-1627.01271176234,96.2586371399684,"name_bus"
"model_02","~name_car","~1","~1",-4874.5786910954,-4052.59988869012,"name_car"
"model_03","~1","~name_car","~1",-2119.8850165194,-1333.957915974,"name_car"
"model_04","~1","~1","~name_car",-6888.22720354373,-5164.95585464142,"name_car"
"model_05","~name_car","~name_car","~1",-2406.76272344555,-1289.15996578924,"name_car"
"model_07","~1","~name_car","~name_car",-7146.69591732823,-4990.80414610735,"name_car"
"model_02","~name_car..group.","~1","~1",-2420.51058677944,-1634.58348623403,"name_car..group."
"model_03","~1","~name_car..group.","~1",-1813.63868892872,-919.55648280367,"name_car..group."
"model_05","~name_car..group.","~name_car..group.","~1",-3156.19618211651,-1649.23504437348,"name_car..group."
"model_01","~name_electric.pole","~name_electric.pole","~name_electric.pole",-5144.13524918951,-2476.30931155832,"name_electric.pole"
"model_02","~name_electric.pole","~1","~1",-1613.25286181467,-755.222357549507,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",-1855.1566320994,-636.609109235421,"name_electric.pole"
"model_05","~name_electric.pole","~name_electric.pole","~1",-1705.30028510903,-328.125274061577,"name_electric.pole"
"model_06","~name_electric.pole","~1","~name_electric.pole",-3669.74803245842,-1773.42851462868,"name_electric.pole"
"model_07","~1","~name_electric.pole","~name_electric.pole",-5842.79622788577,-3513.85628773746,"name_electric.pole"
"model_01","~name_fence","~name_fence","~name_fence",-1526.52190354196,687.052590654728,"name_fence"
"model_02","~name_fence","~1","~1",-1809.74734769444,-951.716843429278,"name_fence"
"model_03","~1","~name_fence","~1",-1882.89925965141,-916.713649806606,"name_fence"
"model_04","~1","~1","~name_fence",-3349.64186839007,-1878.73243250693,"name_fence"
"model_05","~name_fence","~name_fence","~1",-1868.68362394484,-621.294739592959,"name_fence"
"model_06","~name_fence","~1","~name_fence",-2528.79649459424,-719.001061228221,"name_fence"
"model_02","~name_house","~1","~1",-1599.44616265745,-813.519062112051,"name_house"
"model_03","~1","~name_house","~1",-1952.3497775896,-1022.21586960467,"name_house"
"model_04","~1","~1","~name_house",-3289.32267052595,-1710.25812906316,"name_house"
"model_05","~name_house","~name_house","~1",-1961.93853725969,-757.811695139666,"name_house"
"model_01","~name_house..group.","~name_house..group.","~name_house..group.",-5403.91977622079,-3139.87289942027,"name_house..group."
"model_02","~name_house..group.","~1","~1",-1862.09683861289,-1112.22143992737,"name_house..group."
"model_03","~1","~name_house..group.","~1",-1586.70468564141,-836.829286955889,"name_house..group."
"model_04","~1","~1","~name_house..group.",-3710.00812909098,-2311.2020969276,"name_house..group."
"model_05","~name_house..group.","~name_house..group.","~1",-1488.01679584822,-154.103827032626,"name_house..group."
"model_07","~1","~name_house..group.","~name_house..group.",-3116.16375376683,-1479.41648932823,"name_house..group."
